item,block
minecraft:acacia_boat,minecraft:acacia_button
minecraft:acacia_button,minecraft:acacia_door
minecraft:acacia_chest_boat,minecraft:acacia_fence
minecraft:acacia_door,minecraft:acacia_fence_gate
minecraft:acacia_fence,minecraft:acacia_hanging_sign
minecraft:acacia_fence_gate,minecraft:acacia_leaves
minecraft:acacia_hanging_sign,minecraft:acacia_log
minecraft:acacia_leaves,minecraft:acacia_planks
minecraft:acacia_log,minecraft:acacia_pressure_plate
minecraft:acacia_planks,minecraft:acacia_sapling
minecraft:acacia_pressure_plate,minecraft:acacia_sign
minecraft:acacia_sapling,minecraft:acacia_slab
minecraft:acacia_sign,minecraft:acacia_stairs
minecraft:acacia_slab,minecraft:acacia_trapdoor
minecraft:acacia_stairs,minecraft:acacia_wall_hanging_sign
minecraft:acacia_trapdoor,minecraft:acacia_wall_sign
minecraft:acacia_wood,minecraft:acacia_wood
minecraft:activator_rail,minecraft:activator_rail
minecraft:air,minecraft:air
minecraft:allay_spawn_egg,minecraft:allium
minecraft:allium,minecraft:amethyst_block
minecraft:amethyst_block,minecraft:amethyst_cluster
minecraft:amethyst_cluster,minecraft:ancient_debris
minecraft:amethyst_shard,minecraft:andesite
minecraft:ancient_debris,minecraft:andesite_slab
minecraft:andesite,minecraft:andesite_stairs
minecraft:andesite_slab,minecraft:andesite_wall
minecraft:andesite_stairs,minecraft:anvil
minecraft:andesite_wall,minecraft:attached_melon_stem
minecraft:angler_pottery_sherd,minecraft:attached_pumpkin_stem
minecraft:anvil,minecraft:azalea
minecraft:apple,minecraft:azalea_leaves
minecraft:archer_pottery_sherd,minecraft:azure_bluet
minecraft:armadillo_scute,minecraft:bamboo
minecraft:armadillo_spawn_egg,minecraft:bamboo_block
minecraft:armor_stand,minecraft:bamboo_button
minecraft:arms_up_pottery_sherd,minecraft:bamboo_door
minecraft:arrow,minecraft:bamboo_fence
minecraft:axolotl_bucket,minecraft:bamboo_fence_gate
minecraft:axolotl_spawn_egg,minecraft:bamboo_hanging_sign
minecraft:azalea,minecraft:bamboo_mosaic
minecraft:azalea_leaves,minecraft:bamboo_mosaic_slab
minecraft:azure_bluet,minecraft:bamboo_mosaic_stairs
minecraft:baked_potato,minecraft:bamboo_planks
minecraft:bamboo,minecraft:bamboo_pressure_plate
minecraft:bamboo_block,minecraft:bamboo_sapling
minecraft:bamboo_button,minecraft:bamboo_sign
minecraft:bamboo_chest_raft,minecraft:bamboo_slab
minecraft:bamboo_door,minecraft:bamboo_stairs
minecraft:bamboo_fence,minecraft:bamboo_trapdoor
minecraft:bamboo_fence_gate,minecraft:bamboo_wall_hanging_sign
minecraft:bamboo_hanging_sign,minecraft:bamboo_wall_sign
minecraft:bamboo_mosaic,minecraft:barrel
minecraft:bamboo_mosaic_slab,minecraft:barrier
minecraft:bamboo_mosaic_stairs,minecraft:basalt
minecraft:bamboo_planks,minecraft:beacon
minecraft:bamboo_pressure_plate,minecraft:bedrock
minecraft:bamboo_raft,minecraft:bee_nest
minecraft:bamboo_sign,minecraft:beehive
minecraft:bamboo_slab,minecraft:beetroots
minecraft:bamboo_stairs,minecraft:bell
minecraft:bamboo_trapdoor,minecraft:big_dripleaf
minecraft:barrel,minecraft:big_dripleaf_stem
minecraft:barrier,minecraft:birch_button
minecraft:basalt,minecraft:birch_door
minecraft:bat_spawn_egg,minecraft:birch_fence
minecraft:beacon,minecraft:birch_fence_gate
minecraft:bedrock,minecraft:birch_hanging_sign
minecraft:bee_nest,minecraft:birch_leaves
minecraft:bee_spawn_egg,minecraft:birch_log
minecraft:beef,minecraft:birch_planks
minecraft:beehive,minecraft:birch_pressure_plate
minecraft:beetroot,minecraft:birch_sapling
minecraft:beetroot_seeds,minecraft:birch_sign
minecraft:beetroot_soup,minecraft:birch_slab
minecraft:bell,minecraft:birch_stairs
minecraft:big_dripleaf,minecraft:birch_trapdoor
minecraft:birch_boat,minecraft:birch_wall_hanging_sign
minecraft:birch_button,minecraft:birch_wall_sign
minecraft:birch_chest_boat,minecraft:birch_wood
minecraft:birch_door,minecraft:black_banner
minecraft:birch_fence,minecraft:black_bed
minecraft:birch_fence_gate,minecraft:black_candle
minecraft:birch_hanging_sign,minecraft:black_candle_cake
minecraft:birch_leaves,minecraft:black_carpet
minecraft:birch_log,minecraft:black_concrete
minecraft:birch_planks,minecraft:black_concrete_powder
minecraft:birch_pressure_plate,minecraft:black_glazed_terracotta
minecraft:birch_sapling,minecraft:black_shulker_box
minecraft:birch_sign,minecraft:black_stained_glass
minecraft:birch_slab,minecraft:black_stained_glass_pane
minecraft:birch_stairs,minecraft:black_terracotta
minecraft:birch_trapdoor,minecraft:black_wall_banner
minecraft:birch_wood,minecraft:black_wool
minecraft:black_banner,minecraft:blackstone
minecraft:black_bed,minecraft:blackstone_slab
minecraft:black_candle,minecraft:blackstone_stairs
minecraft:black_carpet,minecraft:blackstone_wall
minecraft:black_concrete,minecraft:blast_furnace
minecraft:black_concrete_powder,minecraft:blue_banner
minecraft:black_dye,minecraft:blue_bed
minecraft:black_glazed_terracotta,minecraft:blue_candle
minecraft:black_shulker_box,minecraft:blue_candle_cake
minecraft:black_stained_glass,minecraft:blue_carpet
minecraft:black_stained_glass_pane,minecraft:blue_concrete
minecraft:black_terracotta,minecraft:blue_concrete_powder
minecraft:black_wool,minecraft:blue_glazed_terracotta
minecraft:blackstone,minecraft:blue_ice
minecraft:blackstone_slab,minecraft:blue_orchid
minecraft:blackstone_stairs,minecraft:blue_shulker_box
minecraft:blackstone_wall,minecraft:blue_stained_glass
minecraft:blade_pottery_sherd,minecraft:blue_stained_glass_pane
minecraft:blast_furnace,minecraft:blue_terracotta
minecraft:blaze_powder,minecraft:blue_wall_banner
minecraft:blaze_rod,minecraft:blue_wool
minecraft:blaze_spawn_egg,minecraft:bone_block
minecraft:blue_banner,minecraft:bookshelf
minecraft:blue_bed,minecraft:brain_coral
minecraft:blue_candle,minecraft:brain_coral_block
minecraft:blue_carpet,minecraft:brain_coral_fan
minecraft:blue_concrete,minecraft:brain_coral_wall_fan
minecraft:blue_concrete_powder,minecraft:brewing_stand
minecraft:blue_dye,minecraft:brick_slab
minecraft:blue_glazed_terracotta,minecraft:brick_stairs
minecraft:blue_ice,minecraft:brick_wall
minecraft:blue_orchid,minecraft:bricks
minecraft:blue_shulker_box,minecraft:brown_banner
minecraft:blue_stained_glass,minecraft:brown_bed
minecraft:blue_stained_glass_pane,minecraft:brown_candle
minecraft:blue_terracotta,minecraft:brown_candle_cake
minecraft:blue_wool,minecraft:brown_carpet
minecraft:bogged_spawn_egg,minecraft:brown_concrete
minecraft:bolt_armor_trim_smithing_template,minecraft:brown_concrete_powder
minecraft:bone,minecraft:brown_glazed_terracotta
minecraft:bone_block,minecraft:brown_mushroom
minecraft:bone_meal,minecraft:brown_mushroom_block
minecraft:book,minecraft:brown_shulker_box
minecraft:bookshelf,minecraft:brown_stained_glass
minecraft:bow,minecraft:brown_stained_glass_pane
minecraft:bowl,minecraft:brown_terracotta
minecraft:brain_coral,minecraft:brown_wall_banner
minecraft:brain_coral_block,minecraft:brown_wool
minecraft:brain_coral_fan,minecraft:bubble_column
minecraft:bread,minecraft:bubble_coral
