atomic_number,symbol,element_name,period,electron_block,column,production_rule,celestial_source,designer_status,notes
1,H,Hydrogen,1,s,0,Existing real element,Real-world element,Not started,Real element
2,He,Helium,1,s,18,Existing real element,Real-world element,Not started,Real element
3,Li,Lithium,2,s,0,Existing real element,Real-world element,Not started,Real element
4,Be,Beryllium,2,s,1,Existing real element,Real-world element,Not started,Real element
5,B,Boron,2,p,13,Existing real element,Real-world element,Not started,Real element
6,C,Carbon,2,p,14,Existing real element,Real-world element,Not started,Real element
7,N,Nitrogen,2,p,15,Existing real element,Real-world element,Not started,Real element
8,O,Oxygen,2,p,16,Existing real element,Real-world element,Not started,Real element
9,F,Fluorine,2,p,17,Existing real element,Real-world element,Not started,Real element
10,Ne,Neon,2,p,18,Existing real element,Real-world element,Not started,Real element
11,Na,Sodium,3,s,0,Existing real element,Real-world element,Not started,Real element
12,Mg,Magnesium,3,s,1,Existing real element,Real-world element,Not started,Real element
13,Al,Aluminium,3,p,13,Existing real element,Real-world element,Not started,Real element
14,Si,Silicon,3,p,14,Existing real element,Real-world element,Not started,Real element
15,P,Phosphorus,3,p,15,Existing real element,Real-world element,Not started,Real element
16,S,Sulfur,3,p,16,Existing real element,Real-world element,Not started,Real element
17,Cl,Chlorine,3,p,17,Existing real element,Real-world element,Not started,Real element
18,Ar,Argon,3,p,18,Existing real element,Real-world element,Not started,Real element
19,K,Potassium,4,s,0,Existing real element,Real-world element,Not started,Real element
20,Ca,Calcium,4,s,1,Existing real element,Real-world element,Not started,Real element
21,Sc,Scandium,4,d,3,Existing real element,Real-world element,Not started,Real element
22,Ti,Titanium,4,d,4,Existing real element,Real-world element,Not started,Real element
23,V,Vanadium,4,d,5,Existing real element,Real-world element,Not started,Real element
24,Cr,Chromium,4,d,6,Existing real element,Real-world element,Not started,Real element
25,Mn,Manganese,4,d,7,Existing real element,Real-world element,Not started,Real element
26,Fe,Iron,4,d,8,Existing real element,Real-world element,Not started,Real element
27,Co,Cobalt,4,d,9,Existing real element,Real-world element,Not started,Real element
28,Ni,Nickel,4,d,10,Existing real element,Real-world element,Not started,Real element
29,Cu,Copper,4,d,11,Existing real element,Real-world element,Not started,Real element
30,Zn,Zinc,4,d,12,Existing real element,Real-world element,Not started,Real element
31,Ga,Gallium,4,p,13,Existing real element,Real-world element,Not started,Real element
32,Ge,Germanium,4,p,14,Existing real element,Real-world element,Not started,Real element
33,As,Arsenic,4,p,15,Existing real element,Real-world element,Not started,Real element
34,Se,Selenium,4,p,16,Existing real element,Real-world element,Not started,Real element
35,Br,Bromine,4,p,17,Existing real element,Real-world element,Not started,Real element
36,Kr,Krypton,4,p,18,Existing real element,Real-world element,Not started,Real element
37,Rb,Rubidium,5,s,0,Existing real element,Real-world element,Not started,Real element
38,Sr,Strontium,5,s,1,Existing real element,Real-world element,Not started,Real element
39,Y,Yttrium,5,d,3,Existing real element,Real-world element,Not started,Real element
